hospital_name,location,specialization,icu_available,beds_available,wait_time_minutes,supported_symptoms
Ramaiah Memorial Hospital,Bengaluru,Multi-specialty,Yes,43,11,"Fatigue, Fever, Liver Cancer"
Manipal Hospital Yeshwanthpur,Bengaluru,Multi-specialty,No,36,43,"Stroke, Diabetes, Influenza, Fatigue, Asthma"
Fortis Hospital Richmond Road,Bengaluru,Multi-specialty,Yes,28,56,"Influenza, Fever, Asthma, Diabetes, Pancreatitis"
"SPARSH Hospital, Infantry Road",Bengaluru,Cardiac,No,26,11,"Chest Pain, Hypertension, Stroke"
Manipal Hospital Hebbal,Bengaluru,Multi-specialty,Yes,43,34,"Stroke, Liver Cancer, Asthma, Diabetes"
Manipal Hospital Millers Road,Bengaluru,Multi-specialty,Yes,39,60,"Asthma, Fatigue, Diabetes"
Santosh Hospital - Best Multispeciality Hospital in Bangalore,Bengaluru,General,Yes,23,10,"Common Cold, Fever, Fatigue, Diabetes, Dengue Fever"
Fortis Hospital Cunningham Road,Bengaluru,Multi-specialty,Yes,25,28,"Asthma, Liver Cancer, Influenza"
North Bangalore Hospital,Bengaluru,General,Yes,15,39,"Fever, Dengue Fever, Fatigue"
VSH Hospital,Bengaluru,Multi-specialty,Yes,42,40,"Liver Cancer, Influenza, Asthma"
Manipal Hospitals Jayanagar,Bengaluru,Multi-specialty,Yes,28,9,"Fever, Asthma, Fatigue, Stroke, Pancreatitis"
The Bangalore Hospital,Bengaluru,General,Yes,36,30,"Diabetes, Fever, Dengue Fever"
Apollo Spectra Hospitals,Bengaluru,Gastroenterology,Yes,39,21,"Nausea, Gastroenteritis, Ulcer, Stomach Ache"
St Philomena's Hospital,Bengaluru,Multi-specialty,Yes,36,36,"Asthma, Diabetes, Influenza, Liver Cancer, Stroke"
"Fortis Hospital Rajajinagar, Bangalore",Bengaluru,Multi-specialty,No,33,43,"Stroke, Pancreatitis, Fever"
"Fortis Hospital, Bannerghatta Road",Bengaluru,Multi-specialty,Yes,47,5,"Asthma, Diabetes, Influenza, Pancreatitis"
LIFE CARE HOSPITAL- LCH® | Best hospital in BTM layout Bangalore | 24X7 Emergency Service,Bengaluru,General,Yes,23,32,"Fever, Fatigue, Diabetes, Dengue Fever, Typhoid"
Manipal Hospital Varthur Road,Bengaluru,Multi-specialty,Yes,36,11,"Fatigue, Fever, Asthma, Liver Cancer"
Re life hospital- best multispeciality hospital in bangalore,Bengaluru,Multi-specialty,Yes,49,5,"Influenza, Stroke, Liver Cancer, Asthma"
St. Martha's Hospital,Bengaluru,Multi-specialty,Yes,27,8,"Pancreatitis, Fatigue, Asthma, Liver Cancer"
Cambridge Fertility,Bengaluru,Maternity/Gynecology,Yes,9,53,"Pregnancy Complications, PCOS, Pelvic Pain"
Suguna Hospital,Bengaluru,Multi-specialty,Yes,28,38,"Liver Cancer, Fever, Influenza"
South City Hospital,Bengaluru,General,Yes,47,46,"Typhoid, Common Cold, Diabetes, Fever, Dengue Fever"
Apollo Hospitals Bannerghatta,Bengaluru,General,Yes,26,6,"Diabetes, Typhoid, Fatigue, Common Cold"
Narayana Super Specialty Hospitals,Bengaluru,Multi-specialty,Yes,27,9,"Influenza, Diabetes, Stroke, Fatigue, Asthma"
United Hospital - Best Surgical Hospital in Jayanagar,Bengaluru,Multi-specialty,Yes,37,13,"Stroke, Diabetes, Pancreatitis, Liver Cancer"
Sakra World Hospital,Bengaluru,Multi-specialty,No,33,27,"Pancreatitis, Stroke, Influenza, Fever, Asthma"
"Axon Speciality Hospital, Best Multispeciality Hospital in Bangalore",Bengaluru,General,No,26,56,"Typhoid, Fever, Fatigue, Diabetes"
Maiya Multi Speciality Hospital,Bengaluru,Multi-specialty,Yes,25,22,"Influenza, Stroke, Diabetes"
Apollo Speciality Hospital Jayanagar,Bengaluru,General,Yes,40,11,"Malaria, Fatigue, Typhoid"
Manipal Hospitals,Bengaluru,Multi-specialty,Yes,47,30,"Fatigue, Pancreatitis, Stroke, Fever, Influenza"
Citi Hospital,Bengaluru,Multi-specialty,Yes,29,32,"Asthma, Fatigue, Influenza"
Manipal Hospital Whitefield,Bengaluru,Multi-specialty,Yes,43,39,"Pancreatitis, Stroke, Asthma, Liver Cancer, Fever"
Manjunath Hospital,Bengaluru,Multi-specialty,Yes,25,8,"Fever, Fatigue, Asthma, Diabetes, Influenza"
Mallige Hospital,Bengaluru,Multi-specialty,No,32,12,"Liver Cancer, Fatigue, Diabetes"
Sagar Hospitals Jayanagar,Bengaluru,Multi-specialty,Yes,38,38,"Fatigue, Diabetes, Pancreatitis"
Kusuma Hospital,Bengaluru,General,Yes,13,47,"Dengue Fever, Common Cold, Malaria, Fever"
"Altius Hospitals, Rajajinagar",Bengaluru,Multi-specialty,Yes,23,9,"Pancreatitis, Liver Cancer, Fatigue, Fever"
Punya Hospital,Bengaluru,Multi-specialty,Yes,31,23,"Diabetes, Stroke, Liver Cancer"
Vijayanagar Hospital,Bengaluru,Multi-specialty,No,29,47,"Diabetes, Pancreatitis, Fever, Asthma"
Kshema Multispecialty Hospital,Bengaluru,Multi-specialty,Yes,28,23,"Diabetes, Fatigue, Asthma"
Bangalore Baptist Hospital,Bengaluru,Multi-specialty,Yes,36,36,"Fever, Stroke, Pancreatitis"
Manipal Hospital Malleshwaram,Bengaluru,General,Yes,7,5,"Fatigue, Fever, Typhoid"
BMCRI Super Speciality Hospital/PMSSY Hospital,Bengaluru,General,Yes,40,50,"Fever, Dengue Fever, Common Cold"
"Fortis Hospital, Nagarbhavi",Bengaluru,General,No,28,42,"Fatigue, Malaria, Fever, Common Cold, Dengue Fever"
P D Hinduja Sindhi Hospital,Bengaluru,General,Yes,7,27,"Common Cold, Typhoid, Malaria, Fatigue, Diabetes"
Phoenix Hospital,Bengaluru,Multi-specialty,Yes,49,20,"Influenza, Fever, Fatigue, Liver Cancer, Pancreatitis"
Apollo Hospital Seshadripuram,Bengaluru,Multi-specialty,Yes,45,31,"Asthma, Fatigue, Stroke"
Bangalore Hospital Kengeri,Bengaluru,Gastroenterology,Yes,35,19,"Nausea, Gastroenteritis, Ulcer, Stomach Ache, Pancreatitis"
"Apollo Cradle & Children's Hospital in Koramangala, Bangalore",Bengaluru,Pediatrics,Yes,19,19,"Fever, Cough, Chickenpox"
Manipal Northside Hospital,Bengaluru,Multi-specialty,Yes,31,46,"Influenza, Pancreatitis, Liver Cancer, Fever, Fatigue"
Aster RV Hospital,Bengaluru,Multi-specialty,No,21,11,"Fever, Fatigue, Asthma, Liver Cancer"
Health India Hospital - Multi-Speciality Hospital,Bengaluru,Multi-specialty,Yes,23,29,"Fever, Pancreatitis, Liver Cancer, Influenza"
Marvel Multispeciality Hospital,Bengaluru,General,Yes,39,48,"Common Cold, Dengue Fever, Fatigue, Typhoid, Diabetes"
Pristine Hospital & Research Centre Pvt Ltd,Bengaluru,Multi-specialty,Yes,47,12,"Influenza, Liver Cancer, Pancreatitis, Fatigue, Asthma"
St. Martha's Hospital,Bengaluru,General,Yes,23,40,"Dengue Fever, Diabetes, Malaria, Typhoid, Common Cold"
Sagar Hospitals Kumaraswamy Layout,Bengaluru,General,Yes,16,44,"Common Cold, Typhoid, Fever"
The Venlakh Hospital,Bengaluru,Multi-specialty,Yes,45,42,"Asthma, Diabetes, Fatigue, Liver Cancer"
Chiraayu Hospital,Bengaluru,Multi-specialty,Yes,41,10,"Fever, Influenza, Asthma, Pancreatitis, Stroke"
Cura Hospitals - Multispeciality Hospital in Bangalore,Bengaluru,General,Yes,20,48,"Fever, Malaria, Diabetes, Dengue Fever, Fatigue"
MARIGOLD HOSPITALS,Bengaluru,General,No,20,35,"Malaria, Common Cold, Fever"
Aksha Hospital,Bengaluru,Multi-specialty,Yes,42,29,"Pancreatitis, Influenza, Fever"
Vishwabharathi Hospital,Bengaluru,General,Yes,19,16,"Common Cold, Malaria, Fatigue, Diabetes"
SRV Hospitals - Bengaluru | Formerly Agadi Hospital,Bengaluru,Multi-specialty,Yes,41,38,"Pancreatitis, Fatigue, Diabetes, Stroke, Asthma"
BMS Hospital,Bengaluru,Multi-specialty,Yes,34,15,"Fever, Asthma, Influenza, Diabetes, Pancreatitis"
Sri Sairam Hospital - BTM Layout,Bengaluru,Multi-specialty,Yes,35,45,"Pancreatitis, Liver Cancer, Stroke, Asthma"
SS SPARSH HOSPITAL,Bengaluru,Multi-specialty,Yes,30,39,"Pancreatitis, Fatigue, Fever, Liver Cancer"
Essential Hospital,Bengaluru,General,Yes,14,50,"Common Cold, Malaria, Fever"
Abhaya Hospital,Bengaluru,Multi-specialty,Yes,21,18,"Asthma, Influenza, Liver Cancer"
Greenview Medical Center - Multi Speciality Hospital Bangalore,Bengaluru,General,Yes,27,24,"Malaria, Diabetes, Fatigue, Typhoid"
"HOSMAT Hospital, Magrath Road",Bengaluru,General,Yes,22,32,"Diabetes, Fever, Malaria, Common Cold"
Zion Hospitals,Bengaluru,General,Yes,34,13,"Fatigue, Typhoid, Dengue Fever, Fever"
Manohar Hospital,Bengaluru,General,Yes,13,60,"Diabetes, Fatigue, Typhoid, Fever, Malaria"
Fortis Hospital Bangalore | Best Neurology Hospital in Bangalore - Fortis Hospital Cunningham Road,Bengaluru,Neurology,Yes,34,25,"Seizures, Migraine, Stroke, Headache"
Aster CMI Hospital,Bengaluru,General,Yes,39,8,"Dengue Fever, Typhoid, Malaria, Fatigue"
Maruthi Hospital,Bengaluru,General,Yes,20,17,"Common Cold, Fever, Fatigue, Diabetes"
Victoria Hospital,Bengaluru,Multi-specialty,Yes,34,49,"Liver Cancer, Stroke, Asthma, Influenza, Fatigue"
Chinmaya Mission Hospital,Bengaluru,General,Yes,15,24,"Common Cold, Diabetes, Fever, Fatigue"
Poornima Hospital (NABH ACCREDITED),Bengaluru,Multi-specialty,Yes,22,42,"Fatigue, Liver Cancer, Diabetes, Influenza, Fever"
Al-Ameen Hospital,Bengaluru,General,Yes,48,43,"Malaria, Fever, Common Cold, Fatigue, Dengue Fever"
"Trinity Hospital and Heart Foundation, Bengaluru",Bengaluru,Cardiac,Yes,9,37,"Heart Attack, Hypertension, Stroke"
Mithra Multispeciality Hospital,Bengaluru,Multi-specialty,No,40,58,"Fatigue, Asthma, Influenza, Fever"
Chaitanya Hospital (NABH Accredited),Bengaluru,General,Yes,39,54,"Common Cold, Typhoid, Malaria, Dengue Fever, Fever"
Mediscope Hospital,Bengaluru,General,Yes,20,58,"Typhoid, Malaria, Diabetes, Dengue Fever"
Kaveri Speciality Hospital,Bengaluru,Multi-specialty,Yes,30,6,"Pancreatitis, Stroke, Influenza, Diabetes"
Green City Hospital,Bengaluru,General,Yes,26,22,"Common Cold, Typhoid, Malaria, Dengue Fever"
Sri Vinayaka Hospital,Bengaluru,Multi-specialty,No,35,40,"Diabetes, Pancreatitis, Fatigue, Asthma, Stroke"
Vinayaka Hospital,Bengaluru,General,Yes,6,10,"Fever, Typhoid, Malaria"
The Victoria Hospital,Bengaluru,General,Yes,28,35,"Common Cold, Typhoid, Malaria, Dengue Fever"
Jayashree Speciality Hospital,Bengaluru,Multi-specialty,Yes,28,24,"Fever, Influenza, Pancreatitis, Diabetes, Liver Cancer"
BEST HOSPITAL,Bengaluru,General,Yes,39,53,"Fatigue, Fever, Common Cold"
"Fortis Hospital Bangalore | Best Urology and Kidney Care Hospital in Rajajinagar, Bangalore",Bengaluru,Urology,Yes,22,51,"Kidney Stones, Urinary Tract Infection, Prostate Issues"
RK Multi speciality Hospitals,Bengaluru,Multi-specialty,Yes,20,50,"Diabetes, Fatigue, Stroke, Liver Cancer, Fever"
Ganga Hospital (COFT Hospitals LLP) Bangalore,Bengaluru,Multi-specialty,Yes,50,13,"Diabetes, Fatigue, Asthma"
Nayak Hospital,Bengaluru,General,Yes,35,33,"Malaria, Typhoid, Fatigue, Diabetes, Dengue Fever"
DG Hospital,Bengaluru,General,No,9,30,"Fatigue, Dengue Fever, Typhoid"
Republic Hospital,Bengaluru,General,No,41,24,"Diabetes, Fever, Fatigue"
Shanti Hospital and Research Centre,Bengaluru,Multi-specialty,Yes,27,54,"Stroke, Diabetes, Influenza"
Rangadore Memorial Hospital,Bengaluru,Multi-specialty,Yes,38,44,"Pancreatitis, Influenza, Liver Cancer, Diabetes"
Shirdi Sai Hospital,Bengaluru,General,Yes,18,45,"Diabetes, Fever, Fatigue"
Bowring and Lady Curzon Hospital,Bengaluru,Multi-specialty,Yes,20,31,"Stroke, Pancreatitis, Asthma, Fever"
Sreenivasa Hospital,Bengaluru,General,Yes,23,49,"Diabetes, Typhoid, Dengue Fever, Fatigue, Fever"
Bharathy Hospital,Bengaluru,General,Yes,45,42,"Fever, Common Cold, Dengue Fever"
Bhagwan Mahaveer Jain Hospital,Bengaluru,Multi-specialty,Yes,49,22,"Asthma, Fatigue, Diabetes"
Trilife Hospital (Specialist Hospital),Bengaluru,Multi-specialty,Yes,49,23,"Fatigue, Stroke, Liver Cancer"
AV Multi-speciality Hospital - Banashankari,Bengaluru,General,Yes,22,37,"Typhoid, Fever, Dengue Fever"
Lakshmi Hospital,Bengaluru,Multi-specialty,Yes,39,21,"Pancreatitis, Fatigue, Diabetes, Asthma"
People Tree Hospitals @ Hanumantha Nagar,Bengaluru,Multi-specialty,Yes,44,48,"Influenza, Fever, Diabetes"
A.V. Hospital,Bengaluru,General,No,42,32,"Fatigue, Common Cold, Typhoid, Diabetes, Fever"
Shobha Hospital,Bengaluru,General,Yes,25,47,"Malaria, Typhoid, Fatigue, Fever, Common Cold"
Divine Speciality Hospital,Bengaluru,General,Yes,36,23,"Malaria, Common Cold, Dengue Fever"
Stepmed Hospitals,Bengaluru,Multi-specialty,Yes,44,30,"Fatigue, Influenza, Pancreatitis, Liver Cancer"
Ayu Health Hospitals,Bengaluru,Multi-specialty,No,39,53,"Pancreatitis, Influenza, Fatigue"
Shifaa Hospital,Bengaluru,General,No,23,33,"Typhoid, Fatigue, Common Cold, Dengue Fever, Malaria"
"Gleneagles Hospitals, Richmond Road, Bengaluru",Bengaluru,Multi-specialty,Yes,25,24,"Stroke, Fatigue, Fever, Diabetes"
Trustwell Hospitals Pvt. Ltd.,Bengaluru,Multi-specialty,Yes,34,12,"Asthma, Fatigue, Stroke"
Ramakrishna Hospital,Bengaluru,Multi-specialty,Yes,33,58,"Pancreatitis, Fever, Liver Cancer"
Medcare Hospital,Bengaluru,General,Yes,43,37,"Common Cold, Typhoid, Diabetes, Malaria"
Bangalore Orthopaedic And Surgical Hospital,Bengaluru,Orthopedics,No,37,22,"Joint Pain, Rheumatoid Arthritis, Osteoarthritis, Bone Fracture"
ANANYA HOSPITAL,Bengaluru,General,Yes,42,47,"Dengue Fever, Fever, Malaria"
Acura Speciality Hospital,Bengaluru,General,Yes,40,53,"Typhoid, Diabetes, Malaria"
SHANBHAG HOSPITAL (unit of ANANYA HOSPITAL PRIVATE LIMITED),Bengaluru,Multi-specialty,Yes,47,54,"Pancreatitis, Liver Cancer, Stroke, Fever"
People Tree Hospitals,Bengaluru,General,Yes,29,29,"Dengue Fever, Fever, Typhoid"
Happy Healthy Hospital,Bengaluru,Multi-specialty,Yes,23,38,"Liver Cancer, Influenza, Fatigue, Stroke, Pancreatitis"
The Bangalore Kidney Stone Hospital,Bengaluru,Urology,Yes,14,9,"Kidney Stones, Urinary Tract Infection, Prostate Issues"
Dr. Rudrappa's Hospital,Bengaluru,General,Yes,48,59,"Dengue Fever, Diabetes, Typhoid, Fatigue"
BRINDHAVVAN AREION HOSPITAL,Bengaluru,Multi-specialty,Yes,39,9,"Fever, Pancreatitis, Asthma, Influenza"
Hospital,Bengaluru,General,Yes,10,32,"Fever, Malaria, Dengue Fever"
Health Cottage Hospital,Bengaluru,Multi-specialty,No,29,27,"Stroke, Influenza, Pancreatitis, Liver Cancer, Fatigue"
NU Hospitals (West),Bengaluru,General,Yes,16,15,"Common Cold, Malaria, Diabetes, Typhoid"
St. John's Medical College Hospital,Bengaluru,Multi-specialty,Yes,24,19,"Asthma, Diabetes, Fever"
St. Martha's Hospital Gate 2,Bengaluru,General,Yes,48,39,"Dengue Fever, Typhoid, Malaria, Fatigue, Common Cold"
H B S Hospital,Bengaluru,Multi-specialty,Yes,42,21,"Pancreatitis, Liver Cancer, Diabetes"
Usha Hospital,Bengaluru,General,Yes,41,27,"Common Cold, Typhoid, Fever, Fatigue"
WIF Hospital,Bengaluru,Multi-specialty,Yes,47,48,"Diabetes, Fatigue, Fever, Influenza"
Medic Star Hospital,Bengaluru,Multi-specialty,Yes,39,56,"Pancreatitis, Asthma, Liver Cancer"
"Q Medical Center and Hospital , Dickenson Road, Bangalore",Bengaluru,General,Yes,47,48,"Fever, Common Cold, Diabetes"
Jupiter Hospital,Bengaluru,Multi-specialty,Yes,38,28,"Stroke, Fever, Asthma, Fatigue, Liver Cancer"
SPARSH Hospital for Women & Children,Bengaluru,Pediatrics,Yes,16,17,"Cough, Measles, Fever, Chickenpox"
"Fortis Hospital Bangalore | Best Cancer and Oncology Hospital in Cunningham Road, Bangalore",Bengaluru,Oncology,Yes,21,57,"Liver Cancer, Breast Cancer, Lung Cancer"
Ayu Health Hospitals,Bengaluru,General,Yes,14,53,"Fever, Dengue Fever, Fatigue, Typhoid"
V-Care Hospital,Bengaluru,Multi-specialty,Yes,28,39,"Asthma, Pancreatitis, Diabetes, Liver Cancer, Fatigue"
Primecare Hospital,Bengaluru,Multi-specialty,Yes,50,28,"Fever, Pancreatitis, Asthma, Liver Cancer"
Shekhar Hospital,Bengaluru,Multi-specialty,Yes,40,9,"Influenza, Pancreatitis, Fatigue, Diabetes, Liver Cancer"
"Dr, P. R. Desai Hospital",Bengaluru,Maternity/Gynecology,No,7,7,"Pelvic Pain, Pregnancy Complications, PCOS"
ESI Hospital,Bengaluru,General,Yes,28,47,"Fatigue, Malaria, Common Cold, Diabetes"
Gayathri Hospital Pvt Ltd,Bengaluru,Multi-specialty,Yes,39,31,"Asthma, Diabetes, Fever, Stroke, Influenza"
"Chirag Global Hospital | Best hospital for laser treatment of piles, fistula and fissure in Bangalore.",Bengaluru,General,Yes,20,59,"Fever, Dengue Fever, Common Cold"
Sidvin Hospital Pvt Ltd.,Bengaluru,General,Yes,46,27,"Fever, Dengue Fever, Diabetes"
Ramiah hospital road,Bengaluru,Multi-specialty,No,40,45,"Diabetes, Stroke, Fatigue, Influenza"
Amar Hospital,Bengaluru,Multi-specialty,Yes,45,41,"Fatigue, Asthma, Liver Cancer"
Kangaroo Care - Women and Children Hospital in West Bangalore,Bengaluru,Pediatrics,No,19,26,"Measles, Chickenpox, Fever"
Rajarajeshwari Hospital,Bengaluru,General,Yes,14,13,"Malaria, Diabetes, Fatigue"
Springleaf Hospital,Bengaluru,Multi-specialty,No,45,55,"Liver Cancer, Fatigue, Fever, Asthma"
Govt. H.S.I.S Gosha Hospital,Bengaluru,Maternity/Gynecology,No,8,13,"Pregnancy Complications, Pelvic Pain, PCOS"
"Fortis Hospital Bangalore | Best ENT and Head Neck Surgery Hospital in Rajajinagar, Bangalore",Bengaluru,Multi-specialty,Yes,36,42,"Stroke, Fever, Fatigue, Influenza"
Anugraha Hospital,Bengaluru,Multi-specialty,Yes,50,6,"Influenza, Diabetes, Fatigue, Asthma"
Ramesh Hospital,Bengaluru,Multi-specialty,Yes,22,10,"Asthma, Influenza, Fever, Fatigue"
Panacea Hospital,Bengaluru,General,Yes,40,50,"Common Cold, Fatigue, Malaria, Dengue Fever, Typhoid"
Sita Bhateja Speciality Hospital,Bengaluru,General,Yes,32,11,"Diabetes, Malaria, Dengue Fever, Typhoid"
Seventh Day Adventist Medical Centre,Bengaluru,Gastroenterology,Yes,19,31,"Pancreatitis, Nausea, Stomach Ache"
Acharya Tulsi Jain Hospital,Bengaluru,General,Yes,47,21,"Typhoid, Malaria, Fatigue, Dengue Fever"
Jayadev Memorial Rashtrotthana Hospital and Research Centre,Bengaluru,General,No,10,10,"Common Cold, Fever, Typhoid, Fatigue"
Sparsh Hospital For Advanced Surgery (former Sita Bhateja Speciality Hospital- now merged),Bengaluru,General,Yes,40,8,"Fever, Malaria, Dengue Fever"
Sahasra Hospitals Jayanagar | Surgical Gastroenterologist | Bariatric Treatment Bangalore,Bengaluru,Gastroenterology,Yes,47,53,"Pancreatitis, Gastroenteritis, Stomach Ache, Ulcer, Nausea"
