,Hospital_name,Rating,No_of_people_rated,Type,Address,Phone_number,Highlighted_review
0,Ramaiah Memorial Hospital,4.4,'(8.6T)', 'Hospital',New BEL Rd, 080 4050 2000,"""From 424 good service"""
1,Manipal Hospital Yeshwanthpur,4.7,'(16T)', 'Hospital',"Manipal Hospitals 26/4, BRIGADE GATEWAY, yeshwanthpur, beside Metro", 1800 102 4647,"""Manipal hospital yeshwanthpur best hospitality, hygienic and better service."""
2,Fortis Hospital Richmond Road,4.4,'(1T)', 'Hospital',"Cabin No : 368 No:62, Richmond Road, Mother Teresa Rd, Entry from, behind Sacred Heart School Sacred Heart Church", 088844 81414,"""I certfi Mr suresh reddy as panty service."""
3,"SPARSH Hospital, Infantry Road",4.5,'(2.2T)', 'Specialized',"SPARSH Super Speciality Hospital, 146, Infantry Rd", 080 6122 2000,"""And the procedure went well."""
4,Manipal Hospital Hebbal,4.6,'(12T)', 'Private',"Kirloskar Business Park, Manipal Hospital, Bellary Rd", 1800 102 4647,"""DOCTORS OR GOOD IN MANIPAL HOSPITALS HEBBAL AND CARING STAFFS AND GOOD GROOMING NICE AMBIENCE"""
5,Manipal Hospital Millers Road,4.4,'(5.3T)', 'Hospital',"71/1, Manipal Hospital, Millers Rd, opp. to St. Anne's College", 1800 102 4647,"""... team helped me to process my insurance ."""
6,Santosh Hospital - Best Multispeciality Hospital in Bangalore,4.5,'(3.1T)', 'Hospital',"6/1, Promenade Rd, behind Coles Park", 080 4084 8888,""":)"""
7,Fortis Hospital Cunningham Road,4.6,'(4.4T)', 'Hospital',"Fortis Hospital, 14, Cunningham Rd", 096868 60310,"""It’s been a wonderful treatment from this hospital 👌👍"""
8,North Bangalore Hospital,3.4,'(302)', 'Private',"Kalyananagara, SY No.104, 4th, G Street, 125/1, 125/2, Kalyan Residency Road", 091643 99999,"""Hi , I have been going to NBH hospital from 2years ."""
9,VSH Hospital,4.3,'(1.2T)', 'Hospital',"2, Vittal Mallya Rd", 080 2227 7979,"""They are a top-notch hospital with a great team of professionals."""
10,Manipal Hospitals Jayanagar,4.7,'(8.4T)', 'Private',"45th Cross Rd, opp. Bangalore", 1800 102 4647,"""The staff and doctors are extremely cordial and helpful."""
11,The Bangalore Hospital,3.8,'(402)', 'General',"202, Rashtriya Vidyalaya Rd", 080 4278 1643,"""The procedure was done at Bangalore hospital and both nursing as well as helping staff were very caring and attentive."""
12,Apollo Spectra Hospitals,4.6,'(3.5T)', 'Specialized',"Apollo Spectra Hospitals, 143, 1st Cross Rd, near Nagarjuna Hotel", 084484 40991,"""... and she will listen patient history, thank you Dr Ishwarya."""
13,St Philomena's Hospital,3.5,'(650)', 'Hospital',"Post, 4, Mother Teresa Rd, near Life Style",Open 24 hours,"""One of the best hospitals...n the surgeons awesome..."""
14,"Fortis Hospital Rajajinagar, Bangalore",4.6,'(2.7T)', 'Hospital',"111, Chord Rd, opp. Rajajinagar", 095383 11144,"""Thank the entire staff including Dr.Manjunath."""
15,"Fortis Hospital, Bannerghatta Road",4.6,'(17T)', 'Hospital',"154, 9, Bannerghatta Rd, opposite IIM", 096633 67253,"""... hospital at bannerghatta main road, expensive like other hospitals and ..."""
16,LIFE CARE HOSPITAL- LCH® | Best hospital in BTM layout Bangalore | 24X7 Emergency Service,4.3,'(1.7T)', 'General',"Gangothri circle, 23/24,new99, 20th Main Rd", 080 2684 6677,"""Seema very satisfied"""
17,Manipal Hospital Varthur Road,4.6,'(17T)', 'Private',"Survey No. 10P &, 12P, Whitefield Main Rd", 1800 102 4647,"""Appreciated the help and service provided by Rekha while going through helth checkup."""
18,Re life hospital- best multispeciality hospital in bangalore,4.7,'(336)', 'Private',"No 208 & 209, 100 feet ring road", 096060 21671,"""Apart from this, everything else is good."""
19,St. Martha's Hospital,4.1,'(1.2T)', 'Hospital',"#5, Nrupathunga Rd", 080 4012 8250,"""I came to Martha's to get my Covishield vaccine."""
20,Cambridge Fertility,5.0,'(30)', 'Fertility',"Halasuru, Karnataka", 096630 11112,
21,Suguna Hospital,4.7,'(7.6T)', 'Hospital',"1A/87, Dr Rajkumar Rd", 080 4019 4444,"""... about the patient hospital staff, nurse hospital service was gud well maintained cleanliness ❤️🍫"""
22,South City Hospital,4.2,'(161)', 'General',"53, SHALINI’, Mavalli, Main Road, Rashtriya Vidyalaya Rd, near Lalbagh West Gate on", 072049 31879,"""Very good hospital good treatment and good patient care"""
23,Apollo Hospitals Bannerghatta,4.7,'(18T)', 'Hospital',"154, IIM, 11, Bannerghatta Rd, opposite Krishnaraju Layout", 080 2630 4050,"""Apollo Hospitals Bannerghatta road is providing excellent service in Orthopaedics."""
24,Narayana Super Specialty Hospitals,4.1,'(936)', 'Private',"No.6,7 & 8, 18th Cross, 4th Main, (Near Margosa Road BMTC Bus Stand", 094832 96648,"""Good facilities and nice cooperation."""
25,United Hospital - Best Surgical Hospital in Jayanagar,4.9,'(3.1T)', 'Hospital',"No.30, Madhavan Park Circle, 10th Main Rd", 080 4566 6666,"""I went for My annual helth checkup."""
26,Sakra World Hospital,3.9,'(5.7T)', 'Private',"SY NO 52/2 & 52/3, Devarabeesanahalli, Varthur Hobli Opp Intel, Outer Ring Rd", 080 4969 4969,"""Great experience at the hospital."""
27,"Axon Speciality Hospital, Best Multispeciality Hospital in Bangalore",3.4,'(295)', 'Hospital',"321, 6th Main Rd", 080 4334 6333,"""Suman U S and all the support staff in Axon Speciality Hospital, Bangalore ."""
